Feature,Importance
NumCompaniesWorked,0.219773297483643
EnvironmentSatisfaction,0.2082966493523343
YearsSinceLastPromotion,0.20663610765060655
OverTime,0.18292926307030294
overtime_flag,0.18292926307030294
StockOptionLevel,0.1824105966219283
JobSatisfaction,0.17784531063684156
MaritalStatus,0.1550431577654324
JobInvolvement,0.13315664964890392
YearsWithCurrManager,0.11817969503138526
SalaryBand,0.09814476206202959
WorkLifeBalance,0.09790261922533747
YearsInCurrentRole,0.08832447409444784
RelationshipSatisfaction,0.08276000455796113
TenureBand,0.08063334426766311
tenure_risk_score,0.07898149911754244
Department,0.07413542751139486
TrainingTimesLastYear,0.07267291245154102
TotalWorkingYears,0.0690088958795287
Age,0.05672697747182315
StandardHours,0.052839040616566364
YearsAtCompany,0.050039428285507136
JobRole,0.048536154609016835
manager_tenure_ratio,0.03989740895338545
EducationField,0.024096339686114816
DistanceFromHome,0.023438857271600624
BusinessTravel,0.02215580715181709
PerformanceRating,0.017284932253016815
Gender,0.01365415058786726
Education,0.011096024036502318
HourlyRate,0.005470069532781675
JobLevel,0.000875436936754821
EmployeeCount,0.0006604880076421687
DailyRate,0.0005172468094585879
salary_gap,0.00016443525370195841
PercentSalaryHike,0.00013350745237809966
EmployeeNumber,6.582191660876512e-05
MonthlyIncome,5.106161788902831e-05
MonthlyRate,3.7235545852988197e-07
Over18,0.0
