Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TenureBand,SalaryBand,tenure_risk_score,overtime_flag,salary_gap,manager_tenure_ratio,RecruitmentCost,TrainingCost,ProductivityLoss,TotalAttritionCost,Attrition_Probability,Risk_Level
41,1,2,1102,2,1,2,1,1,1,2,0,94,3,2,7,4,2,5993,19479,8,0,1,11,3,1,80,0,8,0,1,6,4,0,5,3,1,0,1,-238.0,0.7142857142857143,5993,11986,8989.5,26968.5,0.5993884720864916,Medium Risk
49,0,1,279,1,8,1,1,1,2,3,1,61,2,2,6,2,1,5130,24907,1,0,0,23,4,4,80,1,10,3,3,10,7,1,7,3,1,0,0,2242.5,0.6363636363636364,5130,10260,7695.0,23085.0,0.14424119474638716,Low Risk
37,1,2,1373,1,2,2,4,1,4,4,1,92,2,1,2,3,2,2090,2396,6,0,1,15,3,2,80,0,7,3,3,0,0,0,0,4,3,1,1,-796.0,0.0,2090,4180,3135.0,9405.0,0.5359369309221517,Medium Risk
33,0,1,1392,1,3,4,1,1,5,4,0,56,3,1,6,3,1,2909,23159,1,0,1,11,3,3,80,0,8,3,3,8,7,3,0,3,3,0,1,21.5,0.0,2909,5818,4363.5,13090.5,0.4389333011434541,Medium Risk
27,0,2,591,1,2,1,3,1,7,1,1,40,3,1,2,2,1,3468,16632,9,0,0,12,3,4,80,1,6,3,3,2,2,2,2,0,1,0,0,582.0,0.6666666666666666,3468,6936,5202.0,15606.0,0.9043739243915522,High Risk
32,0,1,1005,1,2,2,1,1,8,4,1,79,3,1,2,4,2,3068,11864,0,0,0,13,3,3,80,0,8,2,2,7,7,3,6,3,1,0,0,182.0,0.75,3068,6136,4602.0,13806.0,0.1538398465823637,Low Risk
59,0,2,1324,1,3,3,3,1,10,3,0,81,4,1,2,1,1,2670,9964,4,0,1,20,4,1,80,3,12,3,2,1,0,0,0,0,3,1,1,-216.0,0.0,2670,5340,4005.0,12015.0,0.17584856006057095,Low Risk
30,0,2,1358,1,24,1,1,1,11,4,1,67,3,1,2,3,0,2693,13335,1,0,0,22,4,2,80,1,1,2,3,1,0,0,0,0,3,1,0,-193.0,0.0,2693,5386,4039.5,12118.5,0.53610541196277,Medium Risk
38,0,1,216,1,23,3,1,1,12,4,1,44,2,3,4,3,2,9526,8787,0,0,0,21,4,2,80,0,10,2,3,9,7,1,8,3,2,0,0,3079.0,0.8,9526,19052,14289.0,42867.0,0.2695055123679837,Low Risk
36,0,2,1299,1,27,3,3,1,13,3,1,94,3,2,0,3,1,5237,16577,6,0,0,13,3,2,80,2,17,3,2,7,7,7,7,3,1,0,0,-1574.0,0.875,5237,10474,7855.5,23566.5,0.3029478928475676,Low Risk
